frog,sex,first_capture_date,mortality_date
1,female,2023-06-02,
2,female,2023-05-24,
3,female,2023-06-05,
4,female,2023-06-09,
5,male,2023-05-04,
6,male,2023-05-27,
7,female,2023-05-13,
8,female,2023-05-23,
9,female,2023-05-09,2023-08-31
10,male,2023-05-27,
11,female,2023-05-03,2023-08-03
12,female,2023-05-18,2023-06-21
13,male,2023-05-09,
14,male,2023-05-30,
15,male,2023-06-03,
16,female,2023-05-09,
17,female,2023-05-24,
18,male,2023-05-30,
19,female,2023-05-29,
20,male,2023-05-27,
21,female,2023-05-25,
22,male,2023-05-17,
23,male,2023-05-05,2023-08-30
24,male,2023-05-26,
25,male,2023-05-02,
26,male,2023-06-03,2023-07-02
27,female,2023-05-24,2023-09-02
28,female,2023-05-06,
29,male,2023-06-03,
30,female,2023-05-02,
31,male,2023-06-02,
32,male,2023-06-07,
33,male,2023-05-25,
34,female,2023-05-29,
35,male,2023-05-28,
36,female,2023-06-08,2023-08-08
37,female,2023-05-24,2023-08-24
38,female,2023-06-01,2023-07-29
39,female,2023-06-04,2023-08-09
40,female,2023-05-22,
